Desc	Orthogroup	Achatina_immaculata	Biomphalaria_glabrata	Biomphalaria_straminea	Chrysomallon_squamiferum	Crassostrea_gigas	Cyclina_sinensis	Haliotis_rubra	Magallana_hongkongensis	Marisa_cornuarietis	Octopus_sinensis	Pinctada_fucata_martensii	Pomacea_canaliculata	Scapharca_Anadara_broughtonii
(null)	OG0000255	7	6	12	2	5	2	8	4	14	0	2	9	4
(null)	OG0000256	4	6	8	4	8	4	6	9	4	1	6	6	9
(null)	OG0000257	0	0	0	4	10	4	16	11	4	0	14	2	10
(null)	OG0000258	4	3	3	4	11	3	19	8	2	4	4	2	7
(null)	OG0000259	6	7	7	2	9	4	4	6	9	5	3	8	4
(null)	OG0000260	2	9	13	5	7	6	5	11	2	6	4	1	3
(null)	OG0000261	0	1	1	0	23	1	2	22	1	0	20	0	3
(null)	OG0000262	0	1	2	15	2	6	8	7	5	10	3	11	4
(null)	OG0000263	0	0	0	0	0	1	0	0	67	0	0	6	0
(null)	OG0000264	0	0	0	0	0	2	0	0	0	0	72	0	0
(null)	OG0000265	0	0	0	0	0	0	0	0	4	0	0	70	0
(null)	OG0000267	6	3	6	2	4	14	6	5	5	1	10	5	6
(null)	OG0000268	10	4	6	0	4	5	8	6	6	6	8	5	5
(null)	OG0000269	4	5	5	3	16	2	4	13	5	5	3	4	4
(null)	OG0000270	7	5	11	5	1	3	9	2	7	4	3	14	2
(null)	OG0000271	3	11	23	2	1	9	5	1	6	0	1	10	1
(null)	OG0000272	2	4	6	3	7	5	8	7	14	2	1	13	1
(null)	OG0000273	4	22	25	4	0	0	17	0	0	0	1	0	0
(null)	OG0000274	0	1	4	9	6	14	14	12	1	0	9	0	3
(null)	OG0000276	0	0	0	0	3	2	14	8	12	0	17	3	14
(null)	OG0000277	8	3	5	9	4	3	10	4	5	5	4	5	7
(null)	OG0000278	1	2	4	2	6	9	14	9	3	2	10	3	7
(null)	OG0000279	0	1	2	4	7	11	22	12	0	0	3	0	10
(null)	OG0000280	0	1	0	1	9	21	5	13	2	2	9	2	7
(null)	OG0000281	0	1	0	0	26	4	0	39	0	0	1	0	1
(null)	OG0000282	6	2	6	4	7	5	8	6	4	7	2	4	10
(null)	OG0000283	0	3	1	0	27	0	8	10	2	0	11	1	8
(null)	OG0000284	0	1	1	0	2	6	11	9	0	6	23	0	12
(null)	OG0000285	0	3	1	0	0	0	8	0	33	0	1	25	0
(null)	OG0000286	0	0	0	0	5	1	2	11	7	1	24	7	13
(null)	OG0000287	0	0	0	0	15	8	8	15	1	0	13	2	9
(null)	OG0000288	0	0	0	0	5	2	6	6	6	1	10	3	32
(null)	OG0000289	0	0	0	0	33	2	6	8	0	0	21	0	1
(null)	OG0000291	0	0	0	0	0	0	0	0	2	0	0	69	0
(null)	OG0000294	8	20	32	3	0	0	3	0	2	0	0	2	0
(null)	OG0000295	3	8	8	3	3	6	11	3	7	1	6	4	7
(null)	OG0000296	3	3	2	10	3	8	12	9	3	5	4	6	2
(null)	OG0000297	1	1	1	0	4	7	2	7	3	7	17	2	18
(null)	OG0000298	1	13	28	2	7	3	6	3	1	0	1	1	4
(null)	OG0000299	0	23	41	1	0	0	1	3	0	0	1	0	0
(null)	OG0000300	0	0	0	0	17	2	3	15	0	5	20	0	8
(null)	OG0000301	0	0	1	0	36	0	0	29	0	0	0	0	3
(null)	OG0000303	0	0	0	0	0	0	0	0	67	0	0	2	0
(null)	OG0000304	1	0	0	2	0	0	60	0	1	1	1	1	1
(null)	OG0000305	1	0	1	55	0	0	11	0	0	0	0	0	0
(null)	OG0000306	3	3	4	2	6	7	12	7	6	0	8	4	6
(null)	OG0000307	0	62	6	0	0	0	0	0	0	0	0	0	0
(null)	OG0000308	0	3	7	0	8	3	7	12	1	2	10	0	15
(null)	OG0000309	5	8	15	2	4	3	5	5	3	3	4	6	4
(null)	OG0000311	2	3	3	2	11	3	7	10	2	2	6	2	14
(null)	OG0000312	1	0	0	2	1	1	45	0	6	1	0	10	0
(null)	OG0000313	8	5	6	3	2	2	16	4	9	1	2	7	2
(null)	OG0000314	6	1	4	3	5	0	0	2	6	25	1	3	11
(null)	OG0000315	2	5	6	1	2	1	9	2	8	0	3	27	1
(null)	OG0000316	3	8	9	5	6	6	6	4	6	1	2	5	6
(null)	OG0000317	0	0	0	0	4	27	0	16	7	0	3	5	5
(null)	OG0000319	4	7	10	4	9	2	6	12	3	2	1	3	3
(null)	OG0000320	2	2	1	1	7	6	4	16	2	10	3	2	10
(null)	OG0000321	4	5	8	2	4	15	4	9	3	1	5	3	3
(null)	OG0000322	2	11	6	9	9	2	8	7	4	2	2	2	2
(null)	OG0000323	2	1	3	1	12	1	4	15	2	1	9	2	13
(null)	OG0000324	1	6	11	3	1	4	14	1	4	1	2	12	6
(null)	OG0000325	0	0	0	1	0	1	61	0	1	0	2	0	0
(null)	OG0000326	5	3	11	6	5	4	7	7	4	4	5	3	1
(null)	OG0000327	5	5	3	2	4	12	3	4	3	4	5	3	12
(null)	OG0000328	4	3	4	2	5	5	11	6	4	4	6	4	7
(null)	OG0000329	1	1	1	2	0	6	15	0	11	0	3	14	11
(null)	OG0000330	1	3	4	1	6	6	12	6	4	1	5	5	11
(null)	OG0000332	0	0	0	3	7	9	8	9	7	4	5	6	7
(null)	OG0000334	3	3	3	2	6	7	12	8	5	3	3	6	3
(null)	OG0000335	4	7	7	3	3	6	6	4	4	4	4	7	5
(null)	OG0000336	6	5	9	3	2	8	12	2	3	4	3	3	4
(null)	OG0000337	1	2	1	3	6	3	18	15	3	0	3	3	6
(null)	OG0000338	1	0	7	1	9	1	3	10	12	0	12	4	4
(null)	OG0000339	1	1	1	1	3	1	18	4	2	2	13	2	15
