#FamilyID	pvalue	Significant at 0.05
OG0001308	0.838	n
OG0001309	0.901	n
OG0001310	0.486	n
OG0001311	0.18	n
OG0001312	0.001	y
OG0001313	0	y
OG0001315	0.136	n
OG0001316	0.791	n
OG0001318	0.095	n
OG0001320	0.805	n
OG0001321	0.214	n
OG0001322	0.001	y
OG0001323	0.049	y
OG0001324	0.883	n
OG0001325	0.307	n
OG0001326	0.522	n
OG0001327	0.301	n
OG0001328	0.317	n
OG0001329	0.581	n
OG0001331	0.088	n
OG0001332	0.037	y
OG0001333	0.383	n
OG0001334	0.001	y
OG0001336	0.58	n
OG0001337	0.006	y
OG0001338	0.486	n
OG0001339	0.117	n
OG0001340	0.001	y
OG0001341	0.062	n
OG0001342	0.883	n
OG0001343	0.904	n
OG0001344	0.066	n
OG0001345	0.005	y
OG0001347	0.67	n
OG0001349	0.001	y
OG0001350	0.055	n
OG0001351	0.001	y
OG0001353	0	y
OG0001354	0.003	y
OG0001356	0.307	n
OG0001362	0.005	y
OG0001366	0.001	y
OG0001367	0.069	n
OG0001369	0.001	y
OG0001381	0.954	n
OG0001382	0.005	y
OG0001383	0.822	n
OG0001386	0.001	y
OG0001387	0.887	n
OG0001388	0.096	n
OG0001389	0.558	n
OG0001391	0.027	y
OG0001392	0.003	y
OG0001393	0.086	n
OG0001394	0.794	n
OG0001395	0.545	n
OG0001396	0.946	n
OG0001398	0.005	y
OG0001399	0.999	n
OG0001400	0.633	n
OG0001401	0.31	n
OG0001402	0.984	n
OG0001403	0.001	y
OG0001404	0.117	n
OG0001405	0.958	n
OG0001406	0.517	n
OG0001407	0.117	n
OG0001408	0.999	n
OG0001409	0	y
OG0001410	0.299	n
OG0001412	0.546	n
OG0001413	0.082	n
OG0001414	0.494	n
OG0001415	0.002	y
OG0001416	0.952	n
OG0001417	0.001	y
OG0001418	0.034	y
OG0001419	0.807	n
OG0001420	0.001	y
OG0001421	0.838	n
OG0001422	0.006	y
OG0001423	0.095	n
OG0001424	0	y
OG0001425	0.827	n
OG0001427	0.786	n
OG0001430	0.527	n
OG0001431	0.049	y
OG0001432	0.922	n
OG0001433	0.001	y
OG0001434	0.999	n
OG0001435	0.844	n
OG0001436	0.051	n
OG0001437	0.815	n
OG0001438	0.352	n
OG0001439	0.003	y
OG0001442	0.001	y
OG0001443	0.056	n
OG0001444	0.002	y
OG0001445	0.019	y
OG0001447	0	y
OG0001448	0.028	y
OG0001451	0.001	y
OG0001452	0.001	y
OG0001453	0.001	y
OG0001455	0.545	n
OG0001456	0.007	y
OG0001457	0	y
OG0001463	0.001	y
OG0001473	0.932	n
OG0001474	0.095	n
OG0001475	0.331	n
OG0001476	0.445	n
OG0001477	0.775	n
OG0001482	0.016	y
OG0001483	0.001	y
OG0001485	0.039	y
OG0001486	0.838	n
OG0001487	0.891	n
OG0001488	0.001	y
OG0001489	0.983	n
OG0001490	0.481	n
OG0001491	0.033	y
OG0001492	0.059	n
OG0001495	0.245	n
OG0001496	0.586	n
OG0001498	0.592	n
OG0001499	0.063	n
OG0001500	0.001	y
OG0001501	0.014	y
OG0001502	0.001	y
OG0001503	0.948	n
OG0001504	0.095	n
OG0001505	0.952	n
OG0001508	0.687	n
OG0001509	0.001	y
OG0001511	0.954	n
OG0001512	0.156	n
OG0001513	0.001	y
OG0001515	0.003	y
OG0001516	0.535	n
OG0001519	0.937	n
OG0001520	0.018	y
OG0001521	0.006	y
OG0001522	0.378	n
OG0001523	0.172	n
OG0001524	0.985	n
OG0001525	0.301	n
OG0001526	0.369	n
OG0001527	0	y
OG0001528	0.263	n
OG0001529	0.358	n
OG0001530	0.001	y
OG0001531	0	y
OG0001534	0.016	y
OG0001535	0.001	y
OG0001536	0.001	y
OG0001538	0	y
OG0001543	0.027	y
OG0001546	0.176	n
OG0001547	0.001	y
OG0001552	0.027	y
OG0001559	0	y
OG0001560	0	y
OG0001568	0.005	y
OG0001569	0.004	y
OG0001570	0.005	y
OG0001571	0.28	n
OG0001572	0.001	y
OG0001574	0.015	y
OG0001575	0.972	n
OG0001576	0.854	n
OG0001577	0.003	y
OG0001578	0.277	n
OG0001579	0.004	y
OG0001580	0.296	n
OG0001581	0.001	y
OG0001582	0.028	y
OG0001583	0.616	n
OG0001584	0.586	n
OG0001585	0.461	n
OG0001586	0.255	n
OG0001587	0.001	y
OG0001588	0.431	n
OG0001589	0.831	n
OG0001590	0.001	y
OG0001591	0.122	n
OG0001592	0.001	y
OG0001593	0.001	y
OG0001594	0.18	n
OG0001596	0.685	n
OG0001597	0.378	n
OG0001598	0.412	n
OG0001599	0.593	n
OG0001600	0.802	n
OG0001601	0.166	n
OG0001602	0.533	n
OG0001603	0.16	n
OG0001605	0.848	n
OG0001606	0.952	n
OG0001607	0.962	n
OG0001608	0.114	n
OG0001609	0.278	n
OG0001610	0.006	y
OG0001611	0.018	y
OG0001613	0.312	n
OG0001614	0.898	n
OG0001615	0.238	n
OG0001616	0.124	n
OG0001617	0.16	n
OG0001618	0.97	n
OG0001619	0.208	n
OG0001620	0.016	y
OG0001621	0.111	n
OG0001622	0.42	n
OG0001623	0.509	n
OG0001624	0.041	y
OG0001625	0.126	n
OG0001626	0.976	n
OG0001627	0.966	n
OG0001628	0.384	n
OG0001629	0.005	y
OG0001630	0.011	y
OG0001631	0.482	n
OG0001632	0.002	y
OG0001633	0.001	y
OG0001634	0.038	y
OG0001635	0.188	n
OG0001637	0.013	y
OG0001638	0.218	n
OG0001639	0.351	n
OG0001640	0.157	n
OG0001641	0.001	y
OG0001645	0.761	n
OG0001646	0.12	n
OG0001647	0.176	n
OG0001648	0.001	y
OG0001649	0.482	n
OG0001650	0	y
OG0001651	0.001	y
OG0001657	0.001	y
OG0001659	0.5	n
OG0001661	0.358	n
OG0001662	0.001	y
OG0001670	0.224	n
OG0001672	0.015	y
OG0001680	0.002	y
OG0001693	0.004	y
OG0001701	0.002	y
OG0001702	0.537	n
OG0001703	0.692	n
OG0001704	0.004	y
OG0001706	0.954	n
OG0001707	0.273	n
OG0001709	0.224	n
OG0001710	0.331	n
OG0001713	0	y
OG0001715	0.956	n
OG0001716	0.552	n
OG0001717	0.001	y
OG0001718	0.009	y
OG0001719	0.001	y
OG0001720	0.001	y
OG0001721	0.125	n
OG0001722	0.192	n
OG0001723	0.235	n
OG0001724	0.764	n
OG0001727	0.533	n
OG0001728	0.095	n
OG0001729	0.351	n
OG0001730	0.003	y
OG0001731	0.006	y
OG0001732	0.702	n
OG0001734	0.011	y
OG0001735	0.006	y
OG0001736	0.001	y
OG0001737	0.002	y
OG0001738	0.822	n
OG0001739	0.549	n
OG0001740	0.723	n
OG0001741	0.117	n
OG0001742	0.003	y
OG0001743	0.746	n
OG0001744	0.831	n
OG0001745	0.423	n
OG0001746	0.552	n
OG0001747	0.018	y
OG0001748	0.001	y
OG0001749	0.535	n
OG0001750	0.261	n
OG0001751	0.997	n
OG0001752	0.823	n
OG0001753	0.07	n
OG0001754	0.012	y
OG0001755	0.039	y
OG0001756	0.001	y
OG0001757	0.001	y
OG0001758	0.001	y
OG0001759	0.001	y
OG0001760	0.314	n
OG0001761	0.238	n
OG0001763	0.898	n
OG0001764	0.795	n
OG0001765	0.599	n
OG0001766	0.001	y
OG0001767	0.018	y
OG0001768	0.001	y
OG0001769	0.001	y
OG0001770	0.364	n
OG0001771	0.288	n
OG0001772	0.13	n
OG0001773	0.887	n
OG0001774	0.019	y
OG0001775	0.004	y
OG0001776	0.083	n
OG0001777	0.018	y
OG0001778	0.415	n
OG0001779	0.033	y
OG0001780	0.266	n
OG0001781	0.202	n
OG0001782	0.054	n
OG0001783	0.962	n
OG0001784	0.001	y
OG0001785	0.001	y
OG0001787	0.003	y
OG0001789	0.102	n
OG0001790	0.194	n
OG0001791	0.058	n
OG0001792	0.003	y
OG0001794	0.029	y
OG0001796	0.003	y
OG0001797	0.002	y
OG0001798	0.806	n
OG0001799	0	y
OG0001800	0.78	n
OG0001801	0	y
OG0001802	0.251	n
OG0001804	0.003	y
OG0001805	0.005	y
OG0001806	0	y
OG0001808	0.239	n
OG0001809	0.001	y
OG0001810	0.001	y
OG0001811	0	y
OG0001815	0	y
OG0001817	0.013	y
OG0001818	0.034	y
OG0001823	0.001	y
OG0001840	0.78	n
OG0001841	0.005	y
OG0001843	0.989	n
OG0001845	0.599	n
OG0001846	0.117	n
OG0001847	0.137	n
OG0001848	0.587	n
OG0001849	0.95	n
OG0001850	0.335	n
OG0001851	0.674	n
OG0001852	0.33	n
OG0001853	0.001	y
OG0001856	0.001	y
OG0001857	0.15	n
OG0001858	0.889	n
OG0001859	0.469	n
OG0001861	0.001	y
OG0001862	0.012	y
OG0001863	0.011	y
OG0001864	0.199	n
OG0001865	0.007	y
OG0001866	0.471	n
OG0001867	0.107	n
OG0001868	0.004	y
OG0001869	0.001	y
OG0001870	0	y
OG0001872	0.002	y
OG0001874	0.278	n
OG0001875	0.13	n
OG0001876	0.369	n
OG0001878	0.999	n
OG0001879	0.048	y
OG0001880	0.758	n
OG0001881	0.313	n
